t,o,h,l,c
1764727200,0.65746,0.65782,0.6571,0.65757
1764730800,0.65758,0.65804,0.65749,0.65792
1764734400,0.6579,0.65804,0.6577,0.65803
1764738000,0.65802,0.65842,0.65786,0.65831
1764741600,0.65828,0.6585,0.65806,0.65826
1764745200,0.65827,0.65864,0.65762,0.65774
1764748800,0.65774,0.65832,0.65742,0.65821
1764752400,0.65824,0.65858,0.65798,0.65816
1764756000,0.65818,0.65895,0.65815,0.65884
1764759600,0.65882,0.65913,0.65858,0.65892
1764763200,0.65892,0.65926,0.65874,0.65888
1764766800,0.6589,0.65964,0.6587,0.65907
1764770400,0.65906,0.65914,0.65748,0.65848
1764774000,0.6584,0.65985,0.65824,0.65976
1764777600,0.65976,0.65998,0.65898,0.6591
1764781200,0.6591,0.65976,0.65889,0.65962
1764784800,0.65964,0.66008,0.6594,0.65992
1764788400,0.6599,0.66012,0.6598,0.6601
1764792000,0.6601,0.6602,0.66002,0.66014
1764795600,0.66015,0.6602,0.66006,0.66014
1764799200,0.65986,0.66006,0.65986,0.66
1764802800,0.66006,0.66043,0.65998,0.6604
1764806400,0.66042,0.66106,0.6604,0.66092
1764810000,0.66093,0.66106,0.6603,0.66068
1764813600,0.66068,0.66106,0.66045,0.66072
1764817200,0.66071,0.66102,0.66022,0.66092
1764820800,0.66091,0.66148,0.6609,0.66136
1764824400,0.66136,0.66151,0.66082,0.66113
1764828000,0.66114,0.6613,0.66054,0.66112
1764831600,0.66112,0.66159,0.66092,0.66158
1764835200,0.66159,0.66194,0.66104,0.66106
1764838800,0.66106,0.66176,0.66088,0.6616
1764842400,0.6616,0.66178,0.66096,0.66108
1764846000,0.66108,0.66124,0.66062,0.66114
1764849600,0.66115,0.66142,0.66059,0.66082
1764853200,0.66084,0.66101,0.6603,0.6608
1764856800,0.66082,0.66182,0.66063,0.66115
1764860400,0.66114,0.6624,0.661,0.66198
1764864000,0.66198,0.6621,0.66144,0.66178
1764867600,0.66178,0.66182,0.66141,0.66159
1764871200,0.66158,0.66182,0.6613,0.66154
1764874800,0.66154,0.66159,0.66096,0.66139
1764878400,0.6614,0.6614,0.66105,0.66132
1764882000,0.66132,0.66141,0.66078,0.66099
1764885600,0.66108,0.66115,0.66068,0.66085
1764889200,0.66084,0.661,0.66054,0.66064
1764892800,0.66066,0.66108,0.66065,0.66106
1764896400,0.66108,0.66155,0.66108,0.66138
1764900000,0.66138,0.66178,0.66122,0.66158
1764903600,0.6616,0.6616,0.66107,0.66146
1764907200,0.66142,0.66195,0.66136,0.66191
