t,o,h,l,c
1764727200,1.16369,1.16388,1.16354,1.16382
1764730800,1.1638,1.1639,1.1637,1.16378
1764734400,1.16378,1.16422,1.16362,1.16412
1764738000,1.16413,1.16438,1.1641,1.16427
1764741600,1.16428,1.16479,1.16416,1.1643
1764745200,1.1643,1.16528,1.16395,1.16414
1764748800,1.16416,1.16458,1.16358,1.16441
1764752400,1.16442,1.1648,1.164,1.16456
1764756000,1.16458,1.16638,1.1645,1.16606
1764759600,1.16606,1.1666,1.1655,1.16656
1764763200,1.16656,1.16694,1.16623,1.1663
1764766800,1.1663,1.16755,1.16618,1.16664
1764770400,1.16664,1.1667,1.16557,1.16624
1764774000,1.16611,1.16682,1.16546,1.16597
1764777600,1.16596,1.16664,1.16584,1.16594
1764781200,1.16596,1.16709,1.16576,1.16686
1764784800,1.16687,1.16756,1.16684,1.16718
1764788400,1.16719,1.16778,1.16712,1.16728
1764792000,1.16726,1.1673,1.16652,1.16656
1764795600,1.16656,1.16718,1.16643,1.16714
1764799200,1.16716,1.16754,1.16712,1.16714
1764802800,1.16713,1.16724,1.16636,1.16664
1764806400,1.16664,1.16675,1.16595,1.1663
1764810000,1.16629,1.16648,1.16589,1.16633
1764813600,1.16634,1.1664,1.1659,1.16602
1764817200,1.16602,1.16603,1.16534,1.16559
1764820800,1.16558,1.16585,1.16554,1.16574
1764824400,1.16574,1.16624,1.16564,1.16598
1764828000,1.166,1.166,1.16531,1.1658
1764831600,1.1658,1.16656,1.16552,1.16656
1764835200,1.16655,1.1682,1.16635,1.16768
1764838800,1.16768,1.16804,1.16735,1.16777
1764842400,1.16778,1.16798,1.16636,1.16666
1764846000,1.16665,1.16808,1.16652,1.16802
1764849600,1.16802,1.1681,1.16654,1.16702
1764853200,1.16702,1.16714,1.1652,1.16648
1764856800,1.1665,1.16771,1.16643,1.16699
1764860400,1.16697,1.16748,1.16582,1.16734
1764864000,1.16734,1.16736,1.16535,1.16588
1764867600,1.16589,1.16598,1.16531,1.16562
1764871200,1.16562,1.16599,1.16538,1.16544
1764874800,1.16542,1.16556,1.16503,1.16526
1764878400,1.16525,1.16525,1.1641,1.16442
1764882000,1.16442,1.1646,1.1641,1.16449
1764885600,1.16464,1.16464,1.16444,1.16446
1764889200,1.16446,1.16446,1.16412,1.16434
1764892800,1.16434,1.16504,1.16434,1.165
1764896400,1.16499,1.16538,1.16498,1.16536
1764900000,1.16537,1.16545,1.16512,1.16518
1764903600,1.1652,1.1652,1.16466,1.1649
1764907200,1.1649,1.16543,1.16488,1.16536
1764910800,1.16535,1.16592,1.16533,1.16592
1764914400,1.16592,1.16616,1.16554,1.16594
1764918000,1.16594,1.16718,1.16586,1.1663
1764921600,1.1663,1.16642,1.16524,1.16538
1764925200,1.16538,1.16554,1.16483,1.16545
1764928800,1.16546,1.1657,1.16478,1.16511
1764932400,1.1651,1.16524,1.16416,1.16464
1764936000,1.16464,1.16534,1.16437,1.16518
1764939600,1.16517,1.1654,1.16436,1.16518
1764943200,1.16518,1.16602,1.16456,1.165
1764946800,1.16498,1.1659,1.16438,1.16482
1764950400,1.16482,1.16491,1.1628,1.16343
1764954000,1.16342,1.16442,1.16325,1.16442
1764957600,1.16443,1.16486,1.1642,1.16428
1764961200,1.16429,1.16441,1.164,1.16432
1764964800,1.16428,1.16446,1.16399,1.16441
1764968400,1.16442,1.16472,1.16404,1.16438
1765144800,1.16401,1.16463,1.16396,1.16457
1765148400,1.1647,1.16471,1.16395,1.16406
1765152000,1.16408,1.16516,1.16396,1.16512
1765155600,1.16511,1.16532,1.16456,1.16518
1765159200,1.16518,1.16543,1.16488,1.16538
1765162800,1.16538,1.16555,1.16498,1.16502
1765166400,1.16502,1.16556,1.16497,1.16545
1765170000,1.16546,1.16564,1.16526,1.16562
1765173600,1.16562,1.16722,1.16562,1.16608
1765177200,1.1661,1.1668,1.1655,1.16582
1765180800,1.16582,1.16625,1.16482,1.16561
1765184400,1.1656,1.16576,1.16479,1.16488
1765188000,1.16486,1.16557,1.16478,1.16509
1765191600,1.16508,1.16536,1.16468,1.16502
1765195200,1.16502,1.16539,1.16476,1.16533
1765198800,1.16534,1.16576,1.16456,1.16484
1765202400,1.16484,1.16548,1.16378,1.16402
1765206000,1.16402,1.16402,1.16172,1.16251
1765209600,1.16251,1.16288,1.16165,1.16248
1765213200,1.16251,1.16392,1.162,1.16392
1765216800,1.16392,1.16422,1.16344,1.16373
1765220400,1.16372,1.16418,1.16364,1.16394
1765224000,1.16394,1.1642,1.16374,1.16381
1765227600,1.16382,1.16388,1.16352,1.1637
1765231200,1.16352,1.16381,1.16352,1.16362
1765234800,1.16362,1.1641,1.16358,1.1641
1765238400,1.16408,1.1643,1.16369,1.16386
1765242000,1.16386,1.16476,1.1636,1.16472
1765245600,1.16471,1.16484,1.16438,1.16458
1765249200,1.16459,1.16488,1.16438,1.16456
1765252800,1.16456,1.16472,1.16438,1.16468
1765256400,1.1647,1.16506,1.16441,1.1649
1765260000,1.16486,1.16491,1.1642,1.16438
1765263600,1.1644,1.16462,1.16382,1.16398
1765267200,1.16399,1.16498,1.16337,1.1645
1765270800,1.16448,1.16573,1.16436,1.16524
1765274400,1.16524,1.16543,1.16404,1.16447
1765278000,1.16448,1.16478,1.16381,1.16436
1765281600,1.16436,1.16444,1.16343,1.16377
1765285200,1.16378,1.164,1.1629,1.16346
1765288800,1.16346,1.16388,1.16282,1.16376
1765292400,1.16376,1.16379,1.16151,1.16287
1765296000,1.16289,1.16412,1.16288,1.16382
1765299600,1.16382,1.16397,1.1622,1.16242
1765303200,1.1624,1.16249,1.16169,1.16243
1765306800,1.16244,1.163,1.1622,1.16287
1765310400,1.16288,1.16322,1.16265,1.16268
1765314000,1.16268,1.16294,1.16236,1.16266
1765317600,1.16275,1.16296,1.1626,1.16268
1765321200,1.16266,1.16288,1.16246,1.16279
1765324800,1.1628,1.16289,1.16244,1.16262
1765328400,1.16263,1.16288,1.16224,1.16238
1765332000,1.16237,1.16285,1.16232,1.16238
1765335600,1.16238,1.16274,1.16216,1.16266
1765339200,1.16266,1.16291,1.16251,1.16274
1765342800,1.16273,1.1631,1.16265,1.163
1765346400,1.16298,1.16356,1.16286,1.16354
1765350000,1.16354,1.16494,1.16344,1.16483
1765353600,1.16482,1.16578,1.16436,1.16526
1765357200,1.16528,1.1653,1.16356,1.16365
1765360800,1.16364,1.16395,1.16276,1.16343
1765364400,1.16346,1.16384,1.163,1.16352
1765368000,1.16352,1.16424,1.16329,1.16394
1765371600,1.16395,1.16418,1.16276,1.16402
1765375200,1.16402,1.16452,1.16338,1.16434
1765378800,1.16432,1.16514,1.16347,1.16421
1765382400,1.1642,1.165,1.16374,1.165
1765386000,1.165,1.16604,1.16458,1.16588
1765389600,1.16587,1.1661,1.16536,1.16561
1765393200,1.16563,1.16812,1.1647,1.16782
1765396800,1.16782,1.16998,1.16738,1.16941
1765400400,1.16942,1.1696,1.16896,1.16958
1765404000,1.16928,1.16966,1.16898,1.16953
1765407600,1.16955,1.17028,1.1695,1.17016
1765411200,1.17016,1.1705,1.16972,1.17022
1765414800,1.17022,1.17074,1.17004,1.17017
1765418400,1.17018,1.17062,1.16933,1.16939
1765422000,1.16938,1.16976,1.16902,1.1691
1765425600,1.16908,1.16917,1.16855,1.16903
1765429200,1.16902,1.16922,1.16846,1.16854
1765432800,1.16854,1.16898,1.16823,1.1689
1765436400,1.16892,1.1701,1.16874,1.16936
1765440000,1.16938,1.17066,1.16936,1.16972
1765443600,1.16972,1.17034,1.16873,1.17022
1765447200,1.17022,1.17078,1.16989,1.17072
1765450800,1.17072,1.17178,1.17062,1.17132
1765454400,1.1713,1.17193,1.17098,1.1717
1765458000,1.1717,1.17364,1.17133,1.17311
1765461600,1.1731,1.17485,1.17303,1.17376
1765465200,1.17378,1.17571,1.17316,1.17564
1765468800,1.17566,1.17595,1.17462,1.17554
1765472400,1.17552,1.17628,1.17498,1.17552
1765476000,1.17552,1.17594,1.17511,1.17536
1765479600,1.17537,1.17538,1.17405,1.17412
1765483200,1.1741,1.17458,1.17365,1.1741
1765486800,1.17408,1.17434,1.17372,1.17386
1765490400,1.17388,1.17402,1.17385,1.17389
1765494000,1.17388,1.17418,1.17372,1.17409
1765497600,1.1741,1.17446,1.17392,1.17405
1765501200,1.17406,1.17462,1.17325,1.17349
1765504800,1.17348,1.17378,1.17312,1.17362
1765508400,1.17362,1.17376,1.17332,1.17344
1765512000,1.17344,1.17356,1.17312,1.17318
1765515600,1.17317,1.17394,1.17316,1.17386
1765519200,1.17386,1.1742,1.1734,1.17391
1765522800,1.17389,1.17434,1.17358,1.1738
1765526400,1.17379,1.17422,1.17282,1.17282
1765530000,1.17281,1.17348,1.1727,1.17328
1765533600,1.17328,1.17334,1.17245,1.17274
1765537200,1.17274,1.17292,1.17223,1.17268
1765540800,1.17266,1.1728,1.17196,1.1725
1765544400,1.1725,1.17352,1.1724,1.17272
1765548000,1.17272,1.17436,1.17232,1.17422
1765551600,1.1742,1.17451,1.17296,1.17382
1765555200,1.17381,1.17434,1.17262,1.17312
1765558800,1.17312,1.17482,1.17302,1.17478
1765562400,1.17478,1.17498,1.17405,1.17416
1765566000,1.17415,1.17415,1.17354,1.17405
1765569600,1.17402,1.17466,1.1737,1.17392
1765573200,1.17392,1.17453,1.17384,1.17403
1765749600,1.1733,1.17391,1.1733,1.17376
1765753200,1.17376,1.17409,1.17356,1.17372
1765756800,1.17372,1.17374,1.17286,1.17334
1765760400,1.17333,1.17425,1.17296,1.17414
1765764000,1.17414,1.17448,1.1737,1.17414
1765767600,1.17415,1.17448,1.17318,1.17342
1765771200,1.17342,1.17356,1.1732,1.17324
1765774800,1.17326,1.17359,1.17321,1.17344
1765778400,1.17343,1.17364,1.17288,1.17354
1765782000,1.17353,1.17382,1.1728,1.17286
1765785600,1.17285,1.17388,1.17265,1.17312
1765789200,1.17312,1.17436,1.17306,1.17434
1765792800,1.17434,1.17467,1.17392,1.17428
1765796400,1.17427,1.17502,1.17413,1.17488
1765800000,1.17489,1.17593,1.17485,1.17528
1765803600,1.17529,1.17598,1.17472,1.17474
1765807200,1.17473,1.17642,1.17441,1.17636
1765810800,1.17636,1.1769,1.17548,1.17628
1765814400,1.17628,1.17649,1.17522,1.17556
1765818000,1.17554,1.17558,1.1745,1.17459
1765821600,1.17458,1.17484,1.17392,1.17432
1765825200,1.17432,1.175,1.17384,1.1749
1765828800,1.17488,1.17519,1.17476,1.17512
1765832400,1.1751,1.17541,1.17492,1.17539
1765836000,1.17521,1.17542,1.1749,1.17514
1765839600,1.17514,1.1756,1.17512,1.17536
1765843200,1.17538,1.1758,1.17484,1.17498
1765846800,1.17498,1.17554,1.17466,1.17519
1765850400,1.1752,1.17566,1.17503,1.17557
1765854000,1.17556,1.17592,1.175,1.17518
1765857600,1.17518,1.17539,1.175,1.17511
1765861200,1.1751,1.17542,1.17494,1.17505
1765864800,1.17504,1.17538,1.17466,1.17527
1765868400,1.17526,1.17543,1.17444,1.17524
1765872000,1.17525,1.17642,1.17466,1.17545
1765875600,1.17544,1.1762,1.17501,1.17561
1765879200,1.17562,1.17618,1.17539,1.17574
1765882800,1.17574,1.17632,1.17517,1.17632
1765886400,1.17632,1.17785,1.17608,1.17778
1765890000,1.17779,1.17948,1.17569,1.17758
1765893600,1.17758,1.18002,1.1769,1.17998
1765897200,1.17996,1.18042,1.17674,1.17702
1765900800,1.17701,1.1776,1.17612,1.17692
1765904400,1.17692,1.1778,1.17624,1.17639
1765908000,1.17639,1.17639,1.17452,1.17531
1765911600,1.17532,1.17623,1.17346,1.17578
1765915200,1.17576,1.17631,1.17464,1.17478
