t,o,h,l,c
1764727200,205.885,206.078,205.88,206.008
1764730800,206.005,206.034,205.892,205.919
1764734400,205.92,206.025,205.914,205.97
1764738000,205.971,206.112,205.945,206.092
1764741600,206.093,206.095,205.914,206.07
1764745200,206.074,206.211,206.018,206.176
1764748800,206.178,206.481,206.102,206.416
1764752400,206.414,206.696,206.302,206.646
1764756000,206.647,206.748,206.51,206.594
1764759600,206.595,206.678,206.445,206.652
1764763200,206.648,206.732,206.592,206.688
1764766800,206.69,206.894,206.656,206.796
1764770400,206.798,206.938,206.458,206.856
1764774000,206.865,207.084,206.788,206.924
1764777600,206.925,207.032,206.732,206.872
1764781200,206.872,207.087,206.817,206.982
1764784800,206.984,207.144,206.92,207.062
1764788400,207.062,207.15,207.032,207.141
1764792000,207.142,207.258,207.107,207.211
1764795600,207.21,207.35,207.206,207.27
1764799200,207.326,207.326,207.19,207.234
1764802800,207.222,207.262,206.981,207.046
1764806400,207.046,207.108,206.884,206.928
1764810000,206.928,207.256,206.9,207.124
1764813600,207.122,207.288,207.111,207.274
1764817200,207.274,207.33,207.145,207.172
1764820800,207.172,207.271,207.096,207.262
1764824400,207.265,207.362,206.997,207.046
1764828000,207.044,207.294,207.012,207.134
1764831600,207.133,207.218,206.954,207.043
1764835200,207.046,207.062,206.561,206.805
1764838800,206.808,206.866,206.58,206.621
1764842400,206.618,206.742,206.474,206.504
1764846000,206.503,206.59,206.348,206.46
1764849600,206.46,206.546,206.372,206.468
1764853200,206.47,206.642,206.414,206.544
1764856800,206.546,206.946,206.502,206.922
1764860400,206.923,207.022,206.716,206.793
1764864000,206.79,206.874,206.622,206.842
1764867600,206.841,206.852,206.696,206.739
1764871200,206.736,206.849,206.671,206.808
1764874800,206.808,206.848,206.694,206.798
1764878400,206.796,206.804,206.698,206.738
1764882000,206.738,206.78,206.683,206.746
1764885600,206.673,206.698,206.576,206.612
1764889200,206.616,206.741,206.616,206.67
1764892800,206.67,206.81,206.55,206.578
