t,o,h,l,c
1764727200,1.32266,1.32308,1.32244,1.323
1764730800,1.32299,1.32324,1.32286,1.32292
1764734400,1.32291,1.32332,1.3227,1.32317
1764738000,1.32316,1.32382,1.32316,1.3237
1764741600,1.32369,1.32428,1.32356,1.32427
1764745200,1.32428,1.32528,1.32382,1.32432
1764748800,1.32432,1.32636,1.32376,1.3259
1764752400,1.3259,1.3285,1.32564,1.32786
1764756000,1.32786,1.32897,1.3274,1.32835
1764759600,1.32836,1.32966,1.32794,1.32962
1764763200,1.32963,1.33042,1.32941,1.32991
1764766800,1.32992,1.3316,1.32968,1.32995
1764770400,1.32996,1.3317,1.32922,1.33143
1764774000,1.33134,1.33316,1.33044,1.33312
1764777600,1.33312,1.33478,1.33292,1.33318
1764781200,1.33316,1.33478,1.33287,1.33427
1764784800,1.33428,1.33534,1.33387,1.33482
1764788400,1.33482,1.33532,1.33467,1.3351
1764792000,1.3351,1.33526,1.33478,1.3348
1764795600,1.3348,1.33545,1.33476,1.33531
1764799200,1.33527,1.33532,1.33503,1.33514
1764802800,1.33514,1.3352,1.33454,1.33478
1764806400,1.33476,1.33476,1.33373,1.33398
1764810000,1.33398,1.3344,1.33349,1.33404
1764813600,1.33405,1.33405,1.33346,1.33369
1764817200,1.3337,1.3337,1.33276,1.3332
1764820800,1.3332,1.33342,1.33316,1.33319
1764824400,1.3332,1.33403,1.33317,1.33383
1764828000,1.33384,1.3339,1.33324,1.33378
1764831600,1.33379,1.33414,1.33316,1.33367
1764835200,1.33369,1.33593,1.33338,1.33429
1764838800,1.3343,1.335,1.33366,1.3346
1764842400,1.33458,1.33512,1.33371,1.33443
1764846000,1.33442,1.33641,1.33407,1.33604
1764849600,1.33602,1.3362,1.33402,1.3349
1764853200,1.33492,1.33504,1.33221,1.33424
1764856800,1.33426,1.33744,1.33426,1.337
1764860400,1.33701,1.33858,1.33542,1.3373
1764864000,1.33732,1.33734,1.33476,1.33526
1764867600,1.33524,1.3353,1.33406,1.33433
1764871200,1.33432,1.33514,1.33361,1.33434
1764874800,1.33434,1.33462,1.33378,1.334
1764878400,1.33399,1.334,1.33268,1.33289
1764882000,1.3329,1.3332,1.33248,1.33278
1764885600,1.33272,1.33294,1.33237,1.33257
1764889200,1.33258,1.33276,1.33205,1.33224
1764892800,1.33223,1.33303,1.33222,1.333
1764896400,1.33302,1.33336,1.33284,1.33334
1764900000,1.33335,1.33344,1.33304,1.33324
1764903600,1.33324,1.33324,1.33252,1.33272
1764907200,1.33272,1.33373,1.3327,1.33364
1764910800,1.33364,1.33457,1.33358,1.33452
1764914400,1.33451,1.33525,1.33422,1.33492
1764918000,1.3349,1.33624,1.33485,1.33532
1764921600,1.33532,1.33606,1.33459,1.335
1764925200,1.33498,1.33541,1.33426,1.3346
1764928800,1.3346,1.33486,1.33331,1.33379
1764932400,1.3338,1.33403,1.3328,1.33402
1764936000,1.33402,1.33488,1.33387,1.33486
1764939600,1.33484,1.33558,1.334,1.3351
1764943200,1.33509,1.3362,1.3343,1.33484
1764946800,1.33484,1.33594,1.33391,1.3343
1764950400,1.3343,1.33436,1.33162,1.33227
1764954000,1.33226,1.33314,1.33182,1.33312
1764957600,1.33311,1.33408,1.33296,1.33341
1764961200,1.33342,1.33362,1.3329,1.33338
1764964800,1.3334,1.3334,1.33261,1.3333
1764968400,1.3333,1.33372,1.33274,1.33316
1765144800,1.33268,1.33318,1.3322,1.33306
1765148400,1.3329,1.33321,1.3324,1.33258
1765152000,1.3326,1.33338,1.33225,1.33335
1765155600,1.33334,1.33382,1.3331,1.33367
1765159200,1.33368,1.33414,1.33348,1.33412
1765162800,1.33413,1.33426,1.33364,1.33372
1765166400,1.33372,1.33422,1.33367,1.33402
1765170000,1.33404,1.33413,1.33358,1.33372
1765173600,1.33372,1.33466,1.33274,1.33308
1765177200,1.33312,1.3335,1.33222,1.33252
1765180800,1.33252,1.33338,1.33192,1.33275
1765184400,1.33276,1.33289,1.33137,1.33172
1765188000,1.33172,1.33294,1.33162,1.33191
1765191600,1.3319,1.3327,1.3314,1.33176
1765195200,1.33176,1.33224,1.3314,1.33202
1765198800,1.33201,1.33294,1.3315,1.33198
1765202400,1.332,1.33384,1.33152,1.33268
1765206000,1.33266,1.33279,1.33058,1.33119
1765209600,1.33121,1.33252,1.33086,1.33189
1765213200,1.3319,1.33246,1.33111,1.33236
1765216800,1.33238,1.33308,1.33193,1.33246
1765220400,1.33244,1.3329,1.33218,1.33269
1765224000,1.33268,1.33298,1.33232,1.33251
1765227600,1.33252,1.33261,1.33196,1.33213
1765231200,1.33217,1.33244,1.33188,1.33199
1765234800,1.33199,1.33269,1.33187,1.33268
1765238400,1.3327,1.33286,1.33189,1.3322
1765242000,1.33217,1.3333,1.33185,1.3333
1765245600,1.3333,1.33348,1.33261,1.33285
1765249200,1.33286,1.33315,1.33263,1.33281
1765252800,1.33282,1.33309,1.33268,1.333
1765256400,1.333,1.3337,1.33272,1.33334
1765260000,1.33336,1.33346,1.33278,1.33308
1765263600,1.3331,1.33327,1.33236,1.33282
1765267200,1.33283,1.33514,1.33264,1.33442
1765270800,1.33442,1.33564,1.33414,1.33469
1765274400,1.33468,1.3349,1.33298,1.33371
1765278000,1.33372,1.33378,1.33242,1.3329
1765281600,1.3329,1.3331,1.33162,1.33198
1765285200,1.33198,1.33276,1.33101,1.33146
1765288800,1.33144,1.33204,1.33012,1.33151
1765292400,1.3315,1.33158,1.32874,1.3297
1765296000,1.3297,1.33186,1.3297,1.33178
1765299600,1.3318,1.33195,1.32968,1.32976
1765303200,1.32976,1.33034,1.32912,1.33012
1765306800,1.33013,1.33046,1.32958,1.3302
1765310400,1.3302,1.3307,1.32976,1.33002
1765314000,1.33002,1.33051,1.32978,1.32985
1765317600,1.32976,1.33015,1.32962,1.33005
1765321200,1.33004,1.33041,1.32986,1.3303
1765324800,1.3303,1.3305,1.32988,1.33039
1765328400,1.3304,1.3304,1.32961,1.32988
1765332000,1.32985,1.33053,1.32978,1.32994
1765335600,1.32994,1.3305,1.32984,1.33028
1765339200,1.33028,1.33082,1.33028,1.33051
1765342800,1.3305,1.331,1.33041,1.33074
1765346400,1.33074,1.3314,1.33058,1.33136
1765350000,1.33138,1.3326,1.3313,1.3324
1765353600,1.3324,1.33272,1.33166,1.33186
1765357200,1.33187,1.33188,1.33076,1.33132
1765360800,1.33131,1.33158,1.33066,1.33132
1765364400,1.33132,1.33166,1.33014,1.33104
1765368000,1.33105,1.33176,1.33072,1.33143
1765371600,1.33142,1.33318,1.33048,1.33304
1765375200,1.33306,1.33344,1.33231,1.333
1765378800,1.33302,1.33368,1.3315,1.33208
1765382400,1.33208,1.33392,1.33153,1.33382
1765386000,1.33382,1.33478,1.33322,1.33457
1765389600,1.33458,1.33466,1.33299,1.33352
1765393200,1.33354,1.33696,1.33269,1.33648
1765396800,1.33648,1.3389,1.33598,1.3385
1765400400,1.3385,1.33872,1.33799,1.33814
1765404000,1.33796,1.3383,1.3379,1.33802
1765407600,1.33802,1.33917,1.33796,1.33886
1765411200,1.33886,1.33922,1.33764,1.33777
1765414800,1.33779,1.33876,1.33779,1.33822
1765418400,1.33822,1.33874,1.33698,1.33706
1765422000,1.33706,1.33738,1.33664,1.33672
1765425600,1.33672,1.33696,1.33629,1.33691
1765429200,1.33688,1.33704,1.33614,1.33618
1765432800,1.3362,1.33704,1.33596,1.33694
1765436400,1.33694,1.33793,1.33657,1.33701
