t,o,h,l,c
1764727200,1.39662,1.39694,1.39656,1.39672
1764730800,1.39673,1.39695,1.3967,1.39692
1764734400,1.39692,1.39706,1.3968,1.3969
1764738000,1.3969,1.39748,1.39662,1.39722
1764741600,1.39721,1.39732,1.39681,1.39686
1764745200,1.39687,1.39736,1.39622,1.39711
1764748800,1.3971,1.39712,1.39605,1.39618
1764752400,1.39616,1.39636,1.39548,1.39554
1764756000,1.39552,1.39554,1.39402,1.39474
1764759600,1.39474,1.3948,1.39404,1.39458
1764763200,1.39459,1.39471,1.39386,1.39468
1764766800,1.3947,1.39517,1.39396,1.3946
1764770400,1.3946,1.39654,1.39441,1.39606
1764774000,1.39606,1.39696,1.39423,1.39498
1764777600,1.39498,1.39546,1.39412,1.3952
1764781200,1.39519,1.3954,1.39427,1.39442
1764784800,1.39444,1.39503,1.3942,1.3948
1764788400,1.39481,1.39508,1.39448,1.39478
1764792000,1.39478,1.39518,1.39472,1.39518
1764795600,1.39519,1.39552,1.39496,1.39502
1764799200,1.39486,1.39515,1.39472,1.39506
1764802800,1.39508,1.39541,1.39482,1.39539
1764806400,1.3954,1.39578,1.39527,1.39562
1764810000,1.39564,1.39632,1.39562,1.39618
1764813600,1.39617,1.3965,1.396,1.39638
1764817200,1.39638,1.39688,1.39628,1.39629
1764820800,1.39628,1.39637,1.39583,1.39598
1764824400,1.39602,1.3963,1.39598,1.39612
1764828000,1.39612,1.39698,1.39602,1.39659
1764831600,1.39656,1.39713,1.39618,1.39636
1764835200,1.39638,1.3967,1.39574,1.3966
1764838800,1.3966,1.3969,1.39595,1.39604
1764842400,1.39601,1.39689,1.39582,1.3968
1764846000,1.3968,1.3975,1.39647,1.39706
1764849600,1.39706,1.39756,1.39672,1.39726
1764853200,1.39726,1.39776,1.39644,1.39679
1764856800,1.3968,1.39688,1.39501,1.3953
1764860400,1.39531,1.3955,1.39254,1.3933
1764864000,1.3933,1.3949,1.39328,1.39404
1764867600,1.39403,1.39494,1.3939,1.39458
1764871200,1.3946,1.39528,1.39444,1.395
1764874800,1.395,1.39577,1.39491,1.3952
1764878400,1.39522,1.39592,1.39522,1.39578
1764882000,1.39579,1.39606,1.3955,1.39577
1764885600,1.39556,1.39561,1.39521,1.39546
1764889200,1.3955,1.39608,1.3955,1.39601
1764892800,1.39602,1.39602,1.3954,1.39554
1764896400,1.39554,1.39554,1.39509,1.39513
1764900000,1.39512,1.39539,1.39505,1.39518
1764903600,1.39518,1.39578,1.39516,1.39555
1764907200,1.39554,1.39558,1.3952,1.39537
1764910800,1.39536,1.39538,1.39491,1.39496
1764914400,1.39496,1.3951,1.39457,1.39476
1764918000,1.39476,1.3948,1.39404,1.39471
1764921600,1.39472,1.39504,1.3941,1.39452
1764925200,1.39452,1.39474,1.3943,1.3944
1764928800,1.39439,1.395,1.3942,1.39454
1764932400,1.39454,1.39526,1.39412,1.39417
1764936000,1.39418,1.39446,1.39298,1.39312
1764939600,1.39312,1.39395,1.38848,1.38876
1764943200,1.38876,1.38936,1.38735,1.3874
1764946800,1.38743,1.38816,1.38534,1.38546
1764950400,1.38546,1.38708,1.38538,1.38598
1764954000,1.38598,1.38626,1.38338,1.38353
1764957600,1.3835,1.3846,1.38332,1.38365
1764961200,1.38364,1.38424,1.38329,1.38372
1764964800,1.38371,1.38429,1.3826,1.38274
1764968400,1.38272,1.38342,1.38168,1.38171
1765144800,1.38323,1.38365,1.3828,1.38294
1765148400,1.38296,1.38357,1.38256,1.38354
1765152000,1.38355,1.38355,1.38257,1.38262
1765155600,1.38261,1.38286,1.38219,1.38243
1765159200,1.38242,1.38244,1.38203,1.38204
1765162800,1.38204,1.38268,1.38192,1.38262
1765166400,1.38262,1.38265,1.38212,1.38248
1765170000,1.38248,1.38249,1.38198,1.38203
1765173600,1.38204,1.38252,1.38138,1.38218
1765177200,1.38215,1.38294,1.38168,1.38251
1765180800,1.3825,1.3826,1.38149,1.38193
1765184400,1.38194,1.38272,1.38162,1.38243
1765188000,1.38242,1.38254,1.38184,1.38241
1765191600,1.38246,1.38274,1.3814,1.38154
1765195200,1.38156,1.38158,1.37999,1.38071
1765198800,1.3807,1.38124,1.3803,1.38103
1765202400,1.38102,1.38214,1.38001,1.38209
1765206000,1.3821,1.3845,1.38194,1.38448
1765209600,1.38448,1.38531,1.38396,1.3847
1765213200,1.3847,1.3853,1.38404,1.3842
1765216800,1.38418,1.38588,1.38402,1.38587
1765220400,1.38588,1.38595,1.38465,1.38502
1765224000,1.38502,1.38566,1.38478,1.38564
1765227600,1.38562,1.38598,1.38548,1.38577
1765231200,1.38546,1.38557,1.3852,1.38551
1765234800,1.38549,1.38556,1.38486,1.3849
1765238400,1.3849,1.3853,1.38468,1.38524
1765242000,1.38525,1.3855,1.38486,1.3849
1765245600,1.3849,1.38527,1.38486,1.38508
1765249200,1.38507,1.38531,1.38468,1.38474
1765252800,1.38474,1.385,1.38446,1.38458
1765256400,1.38459,1.38518,1.38448,1.38498
1765260000,1.38499,1.38578,1.38496,1.38555
1765263600,1.38556,1.38574,1.38525,1.38564
1765267200,1.38563,1.38578,1.38534,1.38548
1765270800,1.38548,1.38549,1.3839,1.38397
1765274400,1.38398,1.3846,1.38382,1.38432
1765278000,1.38432,1.38464,1.38393,1.38438
1765281600,1.38438,1.38499,1.38424,1.3848
1765285200,1.38482,1.38491,1.38379,1.38404
1765288800,1.38403,1.38436,1.38237,1.38291
1765292400,1.38292,1.38488,1.3828,1.38412
1765296000,1.38412,1.38424,1.38295,1.3834
1765299600,1.3834,1.38578,1.38302,1.38554
1765303200,1.38554,1.38608,1.38516,1.3853
1765306800,1.38528,1.38561,1.3844,1.38483
1765310400,1.38485,1.38516,1.38464,1.38509
1765314000,1.38508,1.38546,1.38446,1.38452
1765317600,1.38472,1.38511,1.38442,1.38454
1765321200,1.38454,1.38486,1.38439,1.38463
1765324800,1.38464,1.38495,1.38451,1.38474
1765328400,1.38475,1.3855,1.38468,1.38544
1765332000,1.38544,1.38576,1.38528,1.38562
1765335600,1.38562,1.38576,1.38537,1.38552
1765339200,1.38552,1.38564,1.38532,1.38551
1765342800,1.3855,1.38564,1.38522,1.38536
1765346400,1.38536,1.38537,1.38486,1.3849
1765350000,1.38488,1.38564,1.38455,1.38544
1765353600,1.38544,1.38588,1.38476,1.38488
1765357200,1.38488,1.38576,1.3847,1.38557
1765360800,1.38558,1.38569,1.38494,1.38542
1765364400,1.38541,1.3855,1.38471,1.38474
1765368000,1.38472,1.38488,1.3838,1.38418
1765371600,1.38419,1.3853,1.3841,1.38447
1765375200,1.38446,1.38724,1.38388,1.38627
1765378800,1.38628,1.38648,1.38514,1.38515
1765382400,1.38516,1.38566,1.38348,1.38356
1765386000,1.38356,1.38376,1.38258,1.38307
1765389600,1.3831,1.38383,1.38265,1.38328
1765393200,1.38332,1.3841,1.38083,1.38106
1765396800,1.38106,1.38149,1.3784,1.37953
1765400400,1.37956,1.38004,1.37916,1.37938
1765404000,1.37918,1.37964,1.37914,1.37954
1765407600,1.37956,1.37962,1.37898,1.37898
1765411200,1.37898,1.37992,1.3785,1.37989
1765414800,1.3799,1.37994,1.37934,1.3795
1765418400,1.3795,1.38078,1.37924,1.38069
1765422000,1.38069,1.38166,1.38057,1.38142
1765425600,1.38141,1.38178,1.3811,1.38158
1765429200,1.3816,1.38172,1.38124,1.3813
1765432800,1.3813,1.38204,1.38124,1.38176
1765436400,1.38177,1.3823,1.38144,1.38218
1765440000,1.38218,1.38218,1.38074,1.38084
1765443600,1.38084,1.38174,1.3807,1.38076
1765447200,1.38074,1.3811,1.38042,1.3805
