t,o,h,l,c
1764727200,155.658,155.808,155.652,155.713
1764730800,155.712,155.732,155.63,155.658
1764734400,155.657,155.75,155.656,155.664
1764738000,155.664,155.706,155.63,155.694
1764741600,155.694,155.694,155.512,155.612
1764745200,155.61,155.711,155.515,155.688
1764748800,155.688,155.757,155.664,155.678
1764752400,155.678,155.683,155.53,155.622
1764756000,155.62,155.644,155.504,155.528
1764759600,155.528,155.529,155.414,155.418
1764763200,155.418,155.434,155.362,155.416
1764766800,155.417,155.528,155.22,155.49
1764770400,155.492,155.524,155.28,155.368
1764774000,155.37,155.611,155.212,155.22
1764777600,155.219,155.251,155.01,155.17
1764781200,155.17,155.217,155.09,155.128
1764784800,155.128,155.178,155.073,155.126
1764788400,155.124,155.169,155.081,155.151
1764792000,155.152,155.252,155.126,155.24
1764795600,155.24,155.32,155.21,155.229
1764799200,155.268,155.268,155.16,155.228
1764802800,155.207,155.241,155.088,155.115
1764806400,155.116,155.251,155.022,155.12
1764810000,155.12,155.412,155.098,155.262
1764813600,155.262,155.432,155.254,155.414
1764817200,155.414,155.542,155.384,155.392
1764820800,155.392,155.47,155.324,155.464
1764824400,155.466,155.506,155.186,155.224
1764828000,155.224,155.452,155.213,155.298
1764831600,155.296,155.354,155.208,155.244
1764835200,155.245,155.252,154.775,154.99
1764838800,154.99,155.058,154.798,154.815
1764842400,154.814,154.895,154.74,154.752
1764846000,154.752,154.794,154.524,154.53
1764849600,154.53,154.782,154.509,154.672
1764853200,154.67,155.062,154.663,154.804
1764856800,154.804,154.856,154.56,154.763
1764860400,154.766,154.898,154.556,154.634
1764864000,154.633,154.919,154.632,154.908
1764867600,154.908,154.968,154.888,154.938
1764871200,154.94,154.995,154.897,154.987
1764874800,154.988,155.042,154.956,155.018
1764878400,155.017,155.134,154.996,155.105
1764882000,155.106,155.146,155.078,155.12
1764885600,155.079,155.09,155.024,155.062
1764889200,155.063,155.166,155.058,155.134
1764892800,155.134,155.231,154.952,154.971
1764896400,154.972,155.1,154.916,155.018
1764900000,155.016,155.104,155.005,155.054
1764903600,155.054,155.159,155.04,155.122
1764907200,155.122,155.127,154.802,154.92
1764910800,154.922,154.922,154.545,154.601
1764914400,154.598,154.701,154.46,154.573
1764918000,154.572,154.652,154.343,154.63
1764921600,154.63,154.896,154.607,154.86
1764925200,154.859,154.966,154.834,154.916
1764928800,154.917,155.176,154.891,155.138
1764932400,155.137,155.226,155.117,155.148
1764936000,155.148,155.265,155.084,155.172
1764939600,155.173,155.262,155.106,155.198
1764943200,155.198,155.285,155.115,155.226
1764946800,155.225,155.358,155.117,155.254
1764950400,155.253,155.494,155.209,155.3
1764954000,155.3,155.346,155.258,155.286
1764957600,155.287,155.322,155.242,155.284
1764961200,155.282,155.324,155.262,155.291
1764964800,155.292,155.326,155.272,155.303
1764968400,155.304,155.381,155.292,155.34
1765144800,155.219,155.256,155.179,155.239
1765148400,155.236,155.386,155.226,155.313
1765152000,155.312,155.328,155.062,155.072
1765155600,155.074,155.153,154.914,154.921
1765159200,154.916,155.071,154.9,155.007
1765162800,155.004,155.116,154.976,155.106
1765166400,155.106,155.124,155.058,155.077
1765170000,155.075,155.268,155.071,155.202
1765173600,155.203,155.291,155.104,155.23
1765177200,155.229,155.357,155.168,155.356
1765180800,155.356,155.464,155.262,155.394
1765184400,155.396,155.546,155.396,155.477
1765188000,155.476,155.534,155.411,155.513
1765191600,155.514,155.59,155.476,155.587
1765195200,155.586,155.66,155.544,155.56
1765198800,155.56,155.662,155.476,155.628
1765202400,155.627,155.88,155.391,155.826
1765206000,155.828,155.986,155.756,155.858
1765209600,155.856,155.959,155.828,155.9
1765213200,155.898,155.926,155.727,155.752
1765216800,155.75,155.786,155.706,155.752
1765220400,155.753,155.917,155.738,155.912
1765224000,155.911,155.937,155.851,155.932
1765227600,155.934,155.962,155.91,155.928
1765231200,155.875,155.942,155.863,155.918
1765234800,155.918,155.98,155.839,155.845
1765238400,155.846,156.024,155.769,156.012
1765242000,156.014,156.039,155.769,155.8
1765245600,155.8,155.908,155.744,155.87
1765249200,155.868,155.893,155.802,155.826
1765252800,155.826,155.988,155.812,155.936
1765256400,155.936,156.116,155.861,156.012
1765260000,156.012,156.128,155.96,156.008
1765263600,156.01,156.2,155.984,156.194
1765267200,156.195,156.434,156.184,156.335
1765270800,156.336,156.341,155.978,156.086
1765274400,156.088,156.204,156.045,156.076
1765278000,156.075,156.198,156.07,156.189
1765281600,156.189,156.357,156.187,156.356
1765285200,156.356,156.516,156.285,156.342
1765288800,156.342,156.535,156.312,156.416
1765292400,156.415,156.916,156.413,156.868
1765296000,156.868,156.92,156.81,156.86
1765299600,156.859,156.926,156.832,156.918
1765303200,156.919,156.928,156.88,156.897
1765306800,156.896,156.956,156.812,156.836
1765310400,156.836,156.924,156.822,156.904
1765314000,156.906,156.942,156.887,156.894
1765317600,156.838,156.932,156.822,156.842
1765321200,156.845,156.914,156.802,156.806
1765324800,156.804,156.94,156.704,156.715
1765328400,156.716,156.772,156.67,156.71
1765332000,156.712,156.728,156.633,156.656
1765335600,156.657,156.684,156.56,156.592
1765339200,156.591,156.663,156.582,156.628
1765342800,156.632,156.722,156.597,156.708
1765346400,156.707,156.766,156.661,156.674
1765350000,156.674,156.755,156.638,156.652
1765353600,156.653,156.71,156.581,156.676
1765357200,156.678,156.89,156.677,156.819
1765360800,156.82,156.86,156.738,156.769
1765364400,156.768,156.777,156.688,156.711
1765368000,156.71,156.76,156.673,156.717
1765371600,156.716,156.718,156.55,156.551
1765375200,156.55,156.63,156.44,156.5
1765378800,156.498,156.535,156.353,156.48
1765382400,156.482,156.492,156.326,156.339
1765386000,156.337,156.398,156.248,156.308
1765389600,156.309,156.478,156.298,156.424
1765393200,156.424,156.684,156.104,156.263
1765396800,156.262,156.312,155.795,155.935
1765400400,155.933,156.102,155.93,156.023
1765404000,155.959,156.038,155.94,156.027
1765407600,156.026,156.032,155.632,155.752
1765411200,155.752,155.888,155.57,155.806
1765414800,155.805,155.825,155.57,155.719
1765418400,155.718,155.778,155.487,155.776
1765422000,155.776,155.79,155.636,155.698
1765425600,155.701,155.86,155.618,155.847
1765429200,155.846,156.073,155.838,156.066
1765432800,156.067,156.164,155.943,155.966
1765436400,155.966,156.056,155.869,156.032
1765440000,156.034,156.07,155.784,155.886
1765443600,155.885,156.034,155.848,155.866
1765447200,155.866,155.951,155.802,155.868
1765450800,155.868,155.884,155.758,155.764
1765454400,155.763,155.819,155.52,155.588
1765458000,155.588,155.626,155.23,155.286
1765461600,155.287,155.298,154.945,154.982
1765465200,154.982,155.179,154.955,155.17
1765468800,155.17,155.291,155.111,155.154
1765472400,155.154,155.294,155.073,155.242
